id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,0.000005,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.0365971627080155,0.507723818465945,0.0000006577952018,-0.000000790003892,Alp,21,And,1,676,,114.498553469019,Alp,2.083,2.063
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.0400258528303233,1.03235840436763,0.0000025374663227,-0.000000874700842,Bet,11,Cas,1,744,,30.0607630262823,Bet,2.303,2.263
1065,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.0577524133796261,0.265003740449339,0.000000022786243,-0.000000039948647,Gam,88,Peg,1,1065,,926.4031007364,Gam,2.846,2.816
1472,1475,1326,,Gl 15A,,Groombridge 34,0.306174,44.022954,3.5873,2888.92,410.58,12,8.09,10.316,M1V,1.56,2.571275,0.20667,2.493057,-0.00000017,0.00005039,0.00001366,0.0801562054445777,0.768345490295079,0.0000140058793803,0.000001990548009,,,And,1,1472,Gl  15,0.00651028498434861,GX,8.125,8.065
1544,1547,1502,,,,Citadelle,0.321407,14.054755,159.2357,75,-17.55,-9.5,8.36,2.35,K0,0.92,153.922235,12.982322,38.670219,-0.00001098,0.00005717,-0.0000155,0.0841441375897787,0.245301757508,0.0000003636102604,-0.0000000850848,,,Psc,1,1544,,10,,,
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,0.00002323,0.00003218,-0.00008456,0.114682902957825,-0.738378668832116,0.0000011284523229,-0.000001714495099,Alp,,Phe,1,2076,,64.4465984741688,,,
2241,2247,,,,,Felixvarela,0.476199,-16.226344,35.7015,-354.87,-228.26,0,9.62,6.857,K5V,1.128,34.013301,4.262471,-9.976163,-0.00000332,-0.00006231,-0.00003793,0.124668479989803,-0.283203130062436,-0.0000017204583082,-0.000001106635707,,,Cet,1,2241,,0.157470787728985,,9.675,9.565
2914,2920,3360,153,,17Zet Cas,Fulu,0.616188,53.896909,181.8182,17.77,-9.15,2,3.69,-2.608,B2IV,-0.196,105.743565,17.207892,146.901502,0.00000511,0.0000167,-0.0000031,0.161317681824672,0.940678523846054,0.000000086151391,-0.000000044360451,Zet,17,Cas,1,2914,,962.055219186215,,,
3172,3179,3712,168,,18Alp Cas,Schedar,0.675116,56.537331,69.979,50.36,-32.17,-4,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,0.00000374,0.00001802,-0.00000943,0.176744881331483,0.986762576310091,0.0000002441521695,-0.000000155964561,Alp,18,Cas,1,3172,,542.000890401624,Alp,2.25,2.23
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.00000782,0.00003545,0.00000025,0.190194642230461,-0.313925470402652,0.000001128597767,0.000000158582554,Bet,16,Cet,1,3413,,116.091387012618,,,
3472,3479,4208,,GJ 9024,,Cocibolca,0.74073,-26.51568,32.3729,313.52,150,55.4,7.78,5.229,G5V,0.664,28.425119,5.582477,-14.452867,0.00005058,0.00006007,-0.00000423,0.193922720893699,-0.46278592082045,0.0000015199878513,0.00000072722052,,,Scl,1,3472,,0.705342414258096,,,
3759,3765,4628,222,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-0.00001198,0.00002545,-0.00004201,0.211110318964211,0.0921641160815062,0.0000036750816241,-0.000005532790685,,,Psc,1,3759,,0.244793566619607,,,
3814,3821,4614,219,Gl 34A,24Eta Cas,Achird,0.81826,57.815187,5.9531,1087.11,-559.65,8.2,3.46,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,0.00001105,0.00003451,-0.0000015,0.214219875507523,1.00906537697707,0.0000052704580027,-0.000002713259763,Eta,24,Cas,1,3814,Gl  34,1.27526370645973,Eta,3.507,3.457
3820,3829,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,0.00005345,0.00003772,-0.00005057,0.214522514457021,0.0940489788001338,0.0000059779950881,-0.000013141165699,,,Psc,1,3820,,0.0001783199772233,,12.621,12.091
4412,4422,5395,265,,28Ups2Cas,Castula,0.944432,59.181056,61.2745,-92.56,-45.33,-47,4.62,0.684,G8III-IV,0.957,30.437701,7.68286,52.6216,-0.00000594,-0.00002986,-0.00004818,0.247251813494001,1.03290427404714,-0.0000004487435427,-0.000000219766041,Ups-2,28,Cas,1,4412,,46.3873966756031,,,
4417,4427,5394,264,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.0000201,-0.00000777,0.247437951103704,1.05970702895103,0.0000001243547091,-0.000000018519882,Gam,27,Cas,1,4417,,3407.21861659357,Gam,2.173,2.133
5044,5054,6434,,GJ 9037,,Nenque,1.077828,-39.488217,41.3736,-168.97,-527.71,22.4,7.72,4.636,G3IV,0.613,30.667693,8.890809,-26.310407,-0.00003822,-0.00004637,-0.00009625,0.282174668090335,-0.689199409089889,-0.000000819189676,-0.000002558410273,,,Phe,1,5044,,1.21786738489126,,,
